code,prefecture,total,first,second,category,date
1,北海道,92179,56808,35371,medical,20210419
2,青森県,20804,13239,7565,medical,20210419
3,岩手県,21526,12800,8726,medical,20210419
4,宮城県,35223,20463,14760,medical,20210419
5,秋田県,18940,11795,7145,medical,20210419
6,山形県,21482,13314,8168,medical,20210419
7,福島県,29418,18322,11096,medical,20210419
8,茨城県,43555,26364,17191,medical,20210419
9,栃木県,29761,17766,11995,medical,20210419
10,群馬県,31335,19586,11749,medical,20210419
11,埼玉県,81737,52044,29693,medical,20210419
12,千葉県,81731,49198,32533,medical,20210419
13,東京都,180851,117683,63168,medical,20210419
14,神奈川県,79262,50264,28998,medical,20210419
15,新潟県,33968,22757,11211,medical,20210419
16,富山県,20366,12278,8088,medical,20210419
17,石川県,18145,12267,5878,medical,20210419
18,福井県,13489,8172,5317,medical,20210419
19,山梨県,12759,7423,5336,medical,20210419
20,長野県,30890,20499,10391,medical,20210419
21,岐阜県,29633,19189,10444,medical,20210419
22,静岡県,43978,28524,15454,medical,20210419
23,愛知県,85741,56349,29392,medical,20210419
24,三重県,30298,18255,12043,medical,20210419
25,滋賀県,19998,12071,7927,medical,20210419
26,京都府,40348,25009,15339,medical,20210419
27,大阪府,131985,83193,48792,medical,20210419
28,兵庫県,75640,51262,24378,medical,20210419
29,奈良県,20287,11527,8760,medical,20210419
30,和歌山県,18349,11670,6679,medical,20210419
31,鳥取県,13678,7429,6249,medical,20210419
32,島根県,12571,7602,4969,medical,20210419
33,岡山県,32155,19447,12708,medical,20210419
34,広島県,47473,29083,18390,medical,20210419
35,山口県,35727,20539,15188,medical,20210419
36,徳島県,16888,9715,7173,medical,20210419
37,香川県,19429,13091,6338,medical,20210419
38,愛媛県,24230,14468,9762,medical,20210419
39,高知県,19242,12400,6842,medical,20210419
40,福岡県,81024,49874,31150,medical,20210419
41,佐賀県,24657,14437,10220,medical,20210419
42,長崎県,32861,20861,12000,medical,20210419
43,熊本県,45546,27955,17591,medical,20210419
44,大分県,26008,15035,10973,medical,20210419
45,宮崎県,24463,14957,9506,medical,20210419
46,鹿児島県,36447,21689,14758,medical,20210419
47,沖縄県,30665,19673,10992,medical,20210419
1,北海道,115865,72190,43675,medical,20210423
2,青森県,28342,18443,9899,medical,20210423
3,岩手県,31075,21793,9282,medical,20210423
4,宮城県,49963,33082,16881,medical,20210423
5,秋田県,26504,18213,8291,medical,20210423
6,山形県,27064,17544,9520,medical,20210423
7,福島県,38028,24287,13741,medical,20210423
8,茨城県,60710,40370,20340,medical,20210423
9,栃木県,42832,28116,14716,medical,20210423
10,群馬県,44061,28812,15249,medical,20210423
11,埼玉県,123188,85296,37892,medical,20210423
12,千葉県,107186,70266,36920,medical,20210423
13,東京都,254513,173280,81233,medical,20210423
14,神奈川県,113758,79039,34719,medical,20210423
15,新潟県,49750,35419,14331,medical,20210423
16,富山県,27404,18351,9053,medical,20210423
17,石川県,29954,20988,8966,medical,20210423
18,福井県,21361,15162,6199,medical,20210423
19,山梨県,15452,9229,6223,medical,20210423
20,長野県,43353,30323,13030,medical,20210423
21,岐阜県,44492,30334,14158,medical,20210423
22,静岡県,64995,43626,21369,medical,20210423
23,愛知県,137063,99994,37069,medical,20210423
24,三重県,41143,28421,12722,medical,20210423
25,滋賀県,28301,18440,9861,medical,20210423
26,京都府,52706,35096,17610,medical,20210423
27,大阪府,166230,105584,60646,medical,20210423
28,兵庫県,97906,67822,30084,medical,20210423
29,奈良県,26943,17507,9436,medical,20210423
30,和歌山県,27047,18367,8680,medical,20210423
31,鳥取県,18161,11523,6638,medical,20210423
32,島根県,18176,12180,5996,medical,20210423
33,岡山県,44632,30699,13933,medical,20210423
34,広島県,67332,46109,21223,medical,20210423
35,山口県,42646,25814,16832,medical,20210423
36,徳島県,25013,17125,7888,medical,20210423
37,香川県,25506,17431,8075,medical,20210423
38,愛媛県,36135,24625,11510,medical,20210423
39,高知県,26527,16818,9709,medical,20210423
40,福岡県,109424,65686,43738,medical,20210423
41,佐賀県,31726,21354,10372,medical,20210423
42,長崎県,43332,28099,15233,medical,20210423
43,熊本県,56336,35782,20554,medical,20210423
44,大分県,36718,24933,11785,medical,20210423
45,宮崎県,33854,21896,11958,medical,20210423
46,鹿児島県,50896,33865,17031,medical,20210423
47,沖縄県,39635,25171,14464,medical,20210423
1,北海道,146108,95871,50237,medical,20210430
2,青森県,38446,26937,11509,medical,20210430
3,岩手県,40626,30022,10604,medical,20210430
4,宮城県,67146,48260,18886,medical,20210430
5,秋田県,34690,23819,10871,medical,20210430
6,山形県,37972,26320,11652,medical,20210430
7,福島県,55617,38649,16968,medical,20210430
8,茨城県,81667,57446,24221,medical,20210430
9,栃木県,57615,40441,17174,medical,20210430
10,群馬県,60811,43152,17659,medical,20210430
11,埼玉県,170056,122806,47250,medical,20210430
12,千葉県,145235,102528,42707,medical,20210430
13,東京都,354005,251192,102813,medical,20210430
14,神奈川県,175653,135263,40390,medical,20210430
15,新潟県,68353,50097,18256,medical,20210430
16,富山県,38623,28104,10519,medical,20210430
17,石川県,39828,29327,10501,medical,20210430
18,福井県,33003,25871,7132,medical,20210430
19,山梨県,22289,14809,7480,medical,20210430
20,長野県,58608,42792,15816,medical,20210430
21,岐阜県,60141,42162,17979,medical,20210430
22,静岡県,96084,70574,25510,medical,20210430
23,愛知県,201384,155262,46122,medical,20210430
24,三重県,54231,39872,14359,medical,20210430
25,滋賀県,37541,27262,10279,medical,20210430
26,京都府,73992,54241,19751,medical,20210430
27,大阪府,210867,138627,72240,medical,20210430
28,兵庫県,121569,85999,35570,medical,20210430
29,奈良県,41758,31447,10311,medical,20210430
30,和歌山県,37003,26207,10796,medical,20210430
31,鳥取県,24532,17517,7015,medical,20210430
32,島根県,24806,17773,7033,medical,20210430
33,岡山県,62681,46026,16655,medical,20210430
34,広島県,94828,69739,25089,medical,20210430
35,山口県,61256,42490,18766,medical,20210430
36,徳島県,35390,26533,8857,medical,20210430
37,香川県,34222,23436,10786,medical,20210430
38,愛媛県,54275,40769,13506,medical,20210430
39,高知県,34602,22888,11714,medical,20210430
40,福岡県,145918,96417,49501,medical,20210430
41,佐賀県,42354,30237,12117,medical,20210430
42,長崎県,58996,40013,18983,medical,20210430
43,熊本県,78449,53481,24968,medical,20210430
44,大分県,48373,35436,12937,medical,20210430
45,宮崎県,43760,29929,13831,medical,20210430
46,鹿児島県,66586,48427,18159,medical,20210430
47,沖縄県,50971,33452,17519,medical,20210430
1,北海道,164622,110357,54265,medical,20210507
2,青森県,43071,30210,12861,medical,20210507
3,岩手県,49643,37849,11794,medical,20210507
4,宮城県,74061,54120,19941,medical,20210507
5,秋田県,36793,24963,11830,medical,20210507
6,山形県,43627,30693,12934,medical,20210507
7,福島県,64642,46232,18410,medical,20210507
8,茨城県,91573,65786,25787,medical,20210507
9,栃木県,63575,45934,17641,medical,20210507
10,群馬県,66539,47455,19084,medical,20210507
11,埼玉県,196355,144470,51885,medical,20210507
12,千葉県,160846,115257,45589,medical,20210507
13,東京都,404983,290463,114520,medical,20210507
14,神奈川県,215694,167971,47723,medical,20210507
15,新潟県,76670,56252,20418,medical,20210507
16,富山県,42755,30794,11961,medical,20210507
17,石川県,44400,33285,11115,medical,20210507
18,福井県,36859,28972,7887,medical,20210507
19,山梨県,24275,16466,7809,medical,20210507
20,長野県,67184,49713,17471,medical,20210507
21,岐阜県,65328,46302,19026,medical,20210507
22,静岡県,106529,79212,27317,medical,20210507
23,愛知県,232493,178287,54206,medical,20210507
24,三重県,62321,45350,16971,medical,20210507
25,滋賀県,47662,35145,12517,medical,20210507
26,京都府,85754,62704,23050,medical,20210507
27,大阪府,233690,155198,78492,medical,20210507
28,兵庫県,149956,104267,45689,medical,20210507
29,奈良県,47112,35925,11187,medical,20210507
30,和歌山県,40201,28574,11627,medical,20210507
31,鳥取県,25037,17980,7057,medical,20210507
32,島根県,28004,20664,7340,medical,20210507
33,岡山県,68993,51696,17297,medical,20210507
34,広島県,103296,76197,27099,medical,20210507
35,山口県,65528,45438,20090,medical,20210507
36,徳島県,39017,29576,9441,medical,20210507
37,香川県,38654,26037,12617,medical,20210507
38,愛媛県,60266,45291,14975,medical,20210507
39,高知県,37115,24006,13109,medical,20210507
40,福岡県,162636,109771,52865,medical,20210507
41,佐賀県,46287,32839,13448,medical,20210507
42,長崎県,65212,44904,20308,medical,20210507
43,熊本県,87289,60846,26443,medical,20210507
44,大分県,52455,38970,13485,medical,20210507
45,宮崎県,47239,32851,14388,medical,20210507
46,鹿児島県,73668,54420,19248,medical,20210507
47,沖縄県,55269,36373,18896,medical,20210507
1,北海道,209822,140506,69316,medical,20210514
2,青森県,51928,34493,17435,medical,20210514
3,岩手県,62669,42443,20226,medical,20210514
4,宮城県,93823,64322,29501,medical,20210514
5,秋田県,45381,27721,17660,medical,20210514
6,山形県,51586,34560,17026,medical,20210514
7,福島県,79585,56155,23430,medical,20210514
8,茨城県,114919,77803,37116,medical,20210514
9,栃木県,78403,51716,26687,medical,20210514
10,群馬県,81215,54321,26894,medical,20210514
11,埼玉県,255912,173714,82198,medical,20210514
12,千葉県,202614,136902,65712,medical,20210514
13,東京都,498522,338771,159751,medical,20210514
