id,date,title,link,pre,resident
1,20200116,新型コロナウイルスに関連した肺炎の患者の発生について（1例目）,https://www.mhlw.go.jp/stf/newpage_08906.html,神奈川,日本
2,20200124,新型コロナウイルスに関連した肺炎の患者の発生について（2例目）,https://www.mhlw.go.jp/stf/newpage_09079.html,東京,中国
3,20200125,新型コロナウイルスに関連した肺炎の患者の発生について（3例目）,https://www.mhlw.go.jp/stf/newpage_09099.html,東京,中国
4,20200126,新型コロナウイルスに関連した肺炎の患者の発生について（4例目）,https://www.mhlw.go.jp/stf/newpage_09100.html,東京,中国
5,20200128,新型コロナウイルスに関連した肺炎の患者の発生について（5例目）,https://www.mhlw.go.jp/stf/newpage_09154.html,東京,中国
6,20200128,新型コロナウイルスに関連した肺炎の患者の発生について（6例目）,https://www.mhlw.go.jp/stf/newpage_09153.html,奈良,日本
7,20200128,新型コロナウイルスに関連した肺炎の患者の発生について（7例目）,https://www.mhlw.go.jp/stf/newpage_09158.html,北海道,中国
8,20200129,新型コロナウイルスに関連した肺炎の患者の発生について（8例目）,https://www.mhlw.go.jp/stf/newpage_09201.html,大阪,日本
9,20200130,新型コロナウイルスに関連した患者（９例目）及び無症状病原体保有者（＊）の発生について,https://www.mhlw.go.jp/stf/newpage_09205.html,チャーター便,-
10,20200130,新型コロナウイルスに関連した肺炎の患者の発生について（10例目）,https://www.mhlw.go.jp/stf/newpage_09236.html,三重,日本
11,20200130,新型コロナウイルスに関連した肺炎の患者の発生について（11例目）,https://www.mhlw.go.jp/stf/newpage_09237.html,東京,中国
12,20200130,新型コロナウイルスに関連した肺炎の患者の発生について（12例目）,https://www.mhlw.go.jp/stf/newpage_09239.html,京都,日本
13,20200131,新型コロナウイルスに関連した肺炎の患者の発生について（13例目）,https://www.mhlw.go.jp/stf/newpage_09271.html,千葉,日本
14,20200131,新型コロナウイルスに関連した無症状病原体保有者（＊）の発生について,https://www.mhlw.go.jp/stf/newpage_09273.html,チャーター便,-
15,20200201,新型コロナウイルスに関連した患者（14、15例目）及び無症状病原体保有者（＊）の発生について,https://www.mhlw.go.jp/stf/newpage_09278.html,チャーター便,-
16,20200204,新型コロナウイルスに関連した肺炎の患者の発生について（17例目）,https://www.mhlw.go.jp/stf/newpage_09310.html,千葉,中国
17,20200204,新型コロナウイルスに関連した肺炎の患者の発生について（18例目）,https://www.mhlw.go.jp/stf/newpage_09311.html,チャーター便,-
18,20200204,新型コロナウイルスに関連した肺炎の患者の発生について（19例目）,https://www.mhlw.go.jp/stf/newpage_09312.html,東京,中国
19,20200205,横浜港に寄港したクルーズ船内で確認された新型コロナウイルス感染症について,https://www.mhlw.go.jp/stf/newpage_09276.html,プリンセス号,-
20,20200205,新型コロナウイルスに関連した患者の発生について（20例目）,https://www.mhlw.go.jp/stf/newpage_09333.html,千葉,中国
21,20200205,新型コロナウイルスに関連した患者の発生について（21例目）,https://www.mhlw.go.jp/stf/newpage_09336.html,京都,日本
22,20200206,新型コロナウイルス感染症の現在の状況と厚生労働省の対応について（令和２年２月６日版）,https://www.mhlw.go.jp/stf/newpage_09360.html,プリンセス号,-
23,20200207,横浜港で検疫中のクルーズ船内で確認された新型コロナウイルス感染症について（第３報）,https://www.mhlw.go.jp/stf/newpage_09340.html,プリンセス号,-
24,20200207,新型コロナウイルス感染症の現在の状況と厚生労働省の対応について（令和２年２月７日版）,https://www.mhlw.go.jp/stf/newpage_09396.html,チャーター便,-
25,20200208,新型コロナウイルスに関連したチャーター便（第４便）に係る帰還邦人の検査結果について,https://www.mhlw.go.jp/stf/newpage_09399.html,チャーター便,-
26,20200208,横浜港に寄港したクルーズ船内で確認された新型コロナウイルス感染症について（第４報）,https://www.mhlw.go.jp/stf/newpage_09398.html,プリンセス号,-
27,20200209,横浜港で検疫中のクルーズ船内で確認された新型コロナウイルス感染症について（第５報）,https://www.mhlw.go.jp/stf/newpage_09405.html,プリンセス号,-
28,20200210,横浜港で検疫中のクルーズ船内で確認された新型コロナウイルス感染症について（第６報）,https://www.mhlw.go.jp/stf/newpage_09419.html,プリンセス号,-
29,20200211,新型コロナウイルスに関連した患者の発生について（24例目）,https://www.mhlw.go.jp/stf/newpage_09422.html,チャーター便,-
30,20200211,新型コロナウイルスに関連した患者の発生について（25例目）,https://www.mhlw.go.jp/stf/newpage_09423.html,チャーター便,-
31,20200212,新型コロナウイルス感染者について（情報提供）,https://www.mhlw.go.jp/stf/newpage_09424.html,プリンセス号-神奈川,検疫官
32,20200212,新型コロナウイルス感染症の現在の状況と厚生労働省の対応について（令和２年２月12日版）,https://www.mhlw.go.jp/stf/newpage_09450.html,プリンセス号,-
33,20200213,横浜港で検疫中のクルーズ船内で確認された新型コロナウイルス感染症について（第８報）,https://www.mhlw.go.jp/stf/newpage_09425.html,プリンセス号,-
34,20200213,新型コロナウイルスに関連した患者の発生について（27例目）,https://www.mhlw.go.jp/stf/newpage_09503.html,神奈川,日本
35,20200213,新型コロナウイルスに関連した患者の発生について（28例目）,https://www.mhlw.go.jp/stf/newpage_09504.html,東京,日本
36,20200213,新型コロナウイルスに関連した患者の発生について（29例目）,https://www.mhlw.go.jp/stf/newpage_09505.html,和歌山,日本
37,20200213,新型コロナウイルスに関連した患者の発生について（30例目）,https://www.mhlw.go.jp/stf/newpage_09506.html,千葉,日本
38,20200214,新型コロナウイルスに関連したチャーター便に係る帰還邦人の検査結果について,https://www.mhlw.go.jp/stf/newpage_09537.html,チャーター便,-
39,20200214,新型コロナウイルスに関連した患者の発生について,https://www.mhlw.go.jp/stf/newpage_09539.html,和歌山-沖縄-東京都-愛知-北海道,日本
40,20200214,新型コロナウイルスに関連した患者の発生について,https://www.mhlw.go.jp/stf/newpage_09541.html,神奈川,日本
41,20200215,新型コロナウイルスに関連した患者（38、39、40例目）の発生について,https://www.mhlw.go.jp/stf/newpage_09543.html,和歌山,日本
42,20200215,新型コロナウイルスに関連した患者の発生について（東京都）,https://www.mhlw.go.jp/stf/newpage_09544.html,東京,日本
43,20200215,横浜港で検疫中のクルーズ船内で確認された新型コロナウイルス感染症について（第９報）,https://www.mhlw.go.jp/stf/newpage_09542.html,プリンセス号,-
