date,pcr.d,positive.d,symptom.d,symptomless.d,symptomConfirming.d,hospitalize.d,mild.d,severe.d,confirming.d,waiting.d,discharge.d,death.d,pcr.f,positive.f,symptom.f,symptomless.f,symptomConfirming.f,hospitalize.f,mild.f,severe.f,confirming.f,waiting.f,discharge.f,death.f,pcr.x,positive.x,symptom,symptomless,symptomConfirming,hospitalized,mild,severe.x,confirming,waiting,discharge.x,death.x,pcr.y,positive.y,discharge.y,symptomlessDischarge,symptomDischarge,severe.y,death.y,pcr,discharge,pcrDiff,dischargeDiff
2020-02-06,132,16,16,0,0,9,0,0,3,0,4,0,566,9,5,4,0,9,7,0,2,0,0,0,,,,,,,,,,,,,31,10,,,,,0,729,4,,
2020-02-07,151,16,16,0,0,12,0,0,0,0,4,0,566,9,6,3,0,9,7,0,2,0,0,0,,,,,,,,,,,,,273,61,,,,,0,990,4,261,0
2020-02-08,151,16,16,0,0,12,0,0,0,0,4,0,566,9,6,3,0,3,3,0,2,0,0,0,,,,,,,,,,,,,279,64,,,,,0,996,4,6,0
2020-02-09,151,16,16,0,0,12,0,0,0,0,4,0,566,9,6,3,0,3,3,0,2,0,0,0,,,,,,,,,,,,,336,70,,,,,0,1053,4,57,0
2020-02-10,174,16,16,0,0,7,7,0,0,0,9,0,764,10,7,3,0,10,7,0,3,0,0,0,,,,,,,,,,,,,439,135,,,,,0,1377,9,324,5
2020-02-11,174,16,16,0,0,7,7,0,0,0,9,0,764,10,7,3,0,3,3,0,3,0,0,0,,,,,,,,,,,,,439,135,,,,,0,1377,9,0,0
2020-02-12,190,16,16,0,0,6,6,0,0,0,10,0,764,12,9,3,0,12,11,0,1,0,0,0,,,,,,,,,,,,,439,135,,,,,0,1393,10,16,1
2020-02-13,200,17,17,0,0,6,6,0,0,0,11,0,764,12,9,3,0,12,12,0,0,0,0,0,,,,,,,,,,,,,713,218,,,,,0,1677,11,284,1
2020-02-14,214,21,21,0,0,9,9,0,0,0,11,1,764,12,9,3,0,11,11,0,0,0,1,0,,,,,,,,,,,,,713,218,,,,,0,1691,12,14,1
2020-02-15,214,21,21,0,0,9,9,0,0,0,11,1,764,12,9,3,0,11,11,0,0,0,1,0,,,,,,,,,,,,,930,285,,,,,0,1908,12,217,0
